Variable,Tipo,No Nulos,Media,Mediana,Moda,Varianza,Desv. Estandar,Min,Max,Rango,Asimetria,Curtosis
id_de_resenha,Numerica,50000,25000.5,25000.5,1.0,208337500.0,14433.9,1.0,50000.0,49999.0,0.0,-1.2
edad,Numerica,50000,30.08,29.0,18.0,79.77,8.93,18.0,65.0,47.0,0.47,-0.376
precio_usd,Numerica,50000,689.69,637.04,412.2,96290.64,310.31,180.02,1499.89,1319.87,0.561,-0.421
tasa_de_cambio_a_usd,Numerica,50000,12.06,1.53,1.0,705.08,26.55,0.78,83.0,82.22,2.286,3.261
calificacion,Numerica,50000,3.12,3.0,4.0,1.56,1.25,1.0,5.0,4.0,-0.174,-0.987
calificacion_duracion_bateria,Numerica,50000,2.72,3.0,1.0,1.82,1.35,1.0,5.0,4.0,0.209,-1.149
calificacion_camara,Numerica,50000,2.72,3.0,1.0,1.81,1.35,1.0,5.0,4.0,0.206,-1.148
calificacion_rendimiento,Numerica,50000,2.72,3.0,1.0,1.82,1.35,1.0,5.0,4.0,0.202,-1.156
calificacion_disenho,Numerica,50000,2.71,3.0,1.0,1.8,1.34,1.0,5.0,4.0,0.215,-1.137
calificacion_pantalla,Numerica,50000,2.72,3.0,1.0,1.83,1.35,1.0,5.0,4.0,0.205,-1.161
longitud_de_resenha,Numerica,50000,62.79,63.0,65.0,64.28,8.02,45.0,82.0,37.0,0.25,-0.263
numero_de_palabras,Numerica,50000,10.62,11.0,10.0,3.83,1.96,6.0,15.0,9.0,-0.011,-0.519
votos_utiles,Numerica,50000,3.64,3.0,2.0,5.92,2.43,0.0,17.0,17.0,0.693,0.221
